State_x,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,State_y,Latitude,Longitude
72,Puerto Rico,3468963.0,40.1,19775.0,12081.0,1543220.0,44.48649351405593,6.3591626661915965,Puerto Rico,18.2001,-66.6645
01,Alabama,4850771.0,38.7,46472.0,25746.0,849699.0,17.51678238366643,3.4095816933019516,Alabama,32.7794,-86.8287
02,Alaska,738565.0,33.9,76114.0,35065.0,73380.0,9.935482997434214,4.00073114756318,Alaska,64.0685,-152.2782
04,Arizona,6809946.0,37.2,53510.0,27964.0,1128046.0,16.564683479134782,3.317368449030286,Arizona,34.2744,-111.6602
05,Arkansas,2977944.0,37.9,43813.0,24426.0,524211.0,17.603118124450962,2.858616548867272,Arkansas,34.8938,-92.4426
06,California,38982847.0,36.1,67169.0,33128.0,5773408.0,14.81012405276608,3.825133654296722,California,37.1841,-119.4696
08,Colorado,5436519.0,36.5,65458.0,34845.0,612143.0,11.259833728163187,2.811652088404363,Colorado,38.9972,-105.5478
09,Connecticut,3594478.0,40.8,73781.0,41365.0,350783.0,9.758941353932338,3.9146713375349633,Connecticut,41.6219,-72.7273
11,District of Columbia,672391.0,33.9,77649.0,50832.0,111025.0,16.51196996985385,4.651906405647904,District of Columbia,38.9101,-77.0147
10,Delaware,943732.0,39.8,63036.0,32625.0,111304.0,11.79402627016992,3.2048293371423244,Delaware,38.9896,-75.505
12,Florida,20278447.0,41.8,50883.0,28774.0,3070972.0,15.144019657915619,3.4475864941728527,Florida,28.6305,-82.4497
13,Georgia,10201635.0,36.4,52977.0,28015.0,1679030.0,16.458440240216397,3.6521694806763816,Georgia,32.6415,-83.4426
15,Hawaii,1421658.0,38.8,74923.0,32511.0,143148.0,10.06908834614232,2.4183031361973133,Hawaii,20.2927,-156.3737
16,Idaho,1657375.0,35.9,50985.0,25471.0,236000.0,14.239384568972019,2.5539180933705405,Idaho,44.3509,-114.613
17,Illinois,12854526.0,37.7,61229.0,32924.0,1698613.0,13.214123959140927,3.82207792025937,Illinois,40.0417,-89.1965
18,Indiana,6614418.0,37.5,52182.0,27305.0,933540.0,14.113713406077451,3.0569431807908116,Indiana,39.8942,-86.2816
19,Iowa,3118102.0,38.1,56570.0,30063.0,361343.0,11.588556115226506,2.213461907275644,Iowa,42.0751,-93.49600000000001
